Date,County,Vehicle Primary Use,BEV Registered,PHEV Registerd,EV Total,Non-EV Total,Total Vehicles,Percent EV
11/30/2019,Benton,Passenger,310,309,619,135123,135742,0.46
11/30/2019,Benton,Truck,0,0,0,42416,42416,0
12/31/2019,Benton,Passenger,315,309,624,135257,135881,0.46
12/31/2019,Benton,Truck,0,0,0,42488,42488,0
1/31/2020,Benton,Passenger,337,316,653,135340,135993,0.48
1/31/2020,Benton,Truck,0,0,0,42556,42556,0
2/29/2020,Benton,Truck,0,0,0,42573,42573,0
2/29/2020,Benton,Passenger,338,320,658,135332,135990,0.48
3/31/2020,Benton,Passenger,344,319,663,135184,135847,0.49
3/31/2020,Benton,Truck,0,0,0,42519,42519,0
4/30/2020,Benton,Passenger,348,321,669,134575,135244,0.49
4/30/2020,Benton,Truck,0,0,0,42485,42485,0
5/31/2020,Benton,Passenger,354,321,675,134184,134859,0.5
5/31/2020,Benton,Truck,0,0,0,42474,42474,0
6/30/2020,Benton,Truck,0,0,0,42703,42703,0
6/30/2020,Benton,Passenger,359,321,680,134245,134925,0.5
7/31/2020,Benton,Truck,0,0,0,42882,42882,0
7/31/2020,Benton,Passenger,373,321,694,134322,135016,0.51
8/31/2020,Benton,Truck,0,0,0,43024,43024,0
8/31/2020,Benton,Passenger,380,322,702,134338,135040,0.52
9/30/2020,Benton,Truck,0,0,0,43089,43089,0
9/30/2020,Benton,Passenger,394,329,723,134400,135123,0.54
10/31/2020,Benton,Passenger,403,340,743,134700,135443,0.55
10/31/2020,Benton,Truck,0,0,0,43070,43070,0
11/30/2020,Benton,Passenger,426,348,774,134808,135582,0.57
11/30/2020,Benton,Truck,0,0,0,43111,43111,0
12/31/2020,Benton,Passenger,440,355,795,135008,135803,0.59
12/31/2020,Benton,Truck,0,0,0,43209,43209,0
1/31/2021,Benton,Passenger,453,358,811,135175,135986,0.6
1/31/2021,Benton,Truck,0,0,0,43333,43333,0
2/28/2021,Benton,Truck,0,0,0,43384,43384,0
2/28/2021,Benton,Passenger,460,362,822,135103,135925,0.6
3/31/2021,Benton,Passenger,466,369,835,135520,136355,0.61
3/31/2021,Benton,Truck,0,0,0,43538,43538,0
4/30/2021,Benton,Truck,0,0,0,43690,43690,0
4/30/2021,Benton,Passenger,496,377,873,136119,136992,0.64
5/31/2021,Benton,Passenger,504,385,889,136124,137013,0.65
5/31/2021,Benton,Truck,0,0,0,43673,43673,0
6/30/2021,Benton,Truck,0,0,0,43635,43635,0
6/30/2021,Benton,Passenger,518,394,912,136424,137336,0.66
7/31/2021,Benton,Truck,0,0,0,43657,43657,0
7/31/2021,Benton,Passenger,540,397,937,136304,137241,0.68
8/31/2021,Benton,Passenger,567,410,977,136230,137207,0.71
8/31/2021,Benton,Truck,0,0,0,43612,43612,0
9/30/2021,Benton,Truck,0,0,0,43680,43680,0
9/30/2021,Benton,Passenger,581,415,996,136294,137290,0.73
10/31/2021,Benton,Truck,0,0,0,43714,43714,0
10/31/2021,Benton,Passenger,595,426,1021,136032,137053,0.74
11/30/2021,Benton,Passenger,626,435,1061,136032,137093,0.77
11/30/2021,Benton,Truck,0,0,0,43657,43657,0
12/31/2021,Benton,Passenger,640,445,1085,136134,137219,0.79
12/31/2021,Benton,Truck,0,0,0,43713,43713,0
1/31/2022,Benton,Passenger,655,453,1108,135981,137089,0.81
1/31/2022,Benton,Truck,0,0,0,43609,43609,0
2/28/2022,Benton,Passenger,665,451,1116,135870,136986,0.81
2/28/2022,Benton,Truck,0,0,0,43651,43651,0
3/31/2022,Benton,Truck,1,0,1,43621,43622,0
3/31/2022,Benton,Passenger,699,444,1143,135790,136933,0.83
4/30/2022,Benton,Passenger,716,446,1162,135526,136688,0.85
4/30/2022,Benton,Truck,1,0,1,43595,43596,0
5/31/2022,Benton,Truck,2,0,2,43557,43559,0
5/31/2022,Benton,Passenger,730,455,1185,135302,136487,0.87
6/30/2022,Benton,Passenger,752,461,1213,135402,136615,0.89
6/30/2022,Benton,Truck,3,0,3,43590,43593,0.01
7/31/2022,Benton,Passenger,781,462,1243,135380,136623,0.91
7/31/2022,Benton,Truck,3,0,3,43505,43508,0.01
